SECID;BOARDID;SHORTNAME;PREVPRICE;LOTSIZE;FACEVALUE;STATUS;BOARDNAME;DECIMALS;SECNAME;REMARKS;MARKETCODE;INSTRID;SECTORID;MINSTEP;PREVWAPRICE;FACEUNIT;PREVDATE;ISSUESIZE;ISIN;LATNAME;REGNUMBER;PREVLEGALCLOSEPRICE;PREVADMITTEDQUOTE;CURRENCYID;SECTYPE;LISTLEVEL;SETTLEDATE
KUNF;TQBR;КУЗОЦМ ао;;100;1;A;Т+: Акции и ДР - безадрес.;3;Каменск-Уральский завод ОАО ао;;FNDT;EQIN;EQ-N;0.001;;SUR;15.01.2020;50326222;RU000A0JPGE2;KUZOCM ao;1-01-32223-D;;;SUR;1;3;20.01.2020
KUZB;TQBR;КузнецкийБ;0.0203;10000;0.01;A;Т+: Акции и ДР - безадрес.;5;"Банк ""Кузнецкий"" ПАО ао";;FNDT;EQIN;EQ-N;0.00001;0.02041;SUR;15.01.2020;22503490875;RU000A0JSQ66;"Bank ""Kuzneckiy""";10100609B;0.0203;0.0203;SUR;1;3;20.01.2020
KZMS;TQBR;КЗМС ао;226;10;10;A;Т+: Акции и ДР - безадрес.;0;КЗМС ПАО;;FNDT;EQIN;EQ-N;1;226;SUR;15.01.2020;884760;RU000A0JNHK2;KZMS 01;1-01-30792-D;226;226;SUR;1;3;20.01.2020
KZOS;TQBR;ОргСинт ао;115;10;1;A;Т+: Акции и ДР - безадрес.;1;"ПАО ""Органический синтез"" ао";;FNDT;EQIN;EQ-N;0.1;115.3;SUR;15.01.2020;1785114000;RU0009089825;PAO Organicheskiy Sintez ao;1-02-55245-D;115;115;SUR;1;3;20.01.2020
KZOSP;TQBR;ОргСинт ап;15.37;10;1;A;Т+: Акции и ДР - безадрес.;2;"ПАО ""Органический синтез"" ап";;FNDT;EQIN;EQ-N;0.01;15.79;SUR;15.01.2020;119596000;RU0006753456;PAO Organicheskiy Sintez ap;2-02-55245-D;15.37;15.37;SUR;2;3;20.01.2020
LIFE;TQBR;iФармсинтз;4.89;100;5;A;Т+: Акции и ДР - безадрес.;3;Фармсинтез ПАО ао;;FNDT;EQIN;EQ-N;0.005;5.085;SUR;15.01.2020;301010754;RU000A0JR514;Farmsintez ao;1-02-09669-J;4.89;4.89;SUR;1;3;20.01.2020
LKOH;TQBR;ЛУКОЙЛ;6552.5;1;0;A;Т+: Акции и ДР - безадрес.;1;НК ЛУКОЙЛ (ПАО) - ао;;FNDT;EQIN;EQ-N;0.5;6536;SUR;15.01.2020;715000000;RU0009024277;LUKOIL;1-01-00077-A;6552.5;6552.5;SUR;1;1;20.01.2020
LNTA;TQBR;Лента др;194;1;0;A;Т+: Акции и ДР - безадрес.;1;Лента Лтд.  др;;FNDT;EQIN;EQ-N;0.1;194;SUR;15.01.2020;0;US52634T2006;Lenta ltd dr;;194;194;SUR;D;1;20.01.2020
LNZL;TQBR;Лензолото;7950;1;1;A;Т+: Акции и ДР - безадрес.;0;Лензолото ПАО ао;;FNDT;EQIN;EQ-N;10;8010;SUR;15.01.2020;1140300;RU000A0JP1N2;Lenzoloto;1-02-40433-N;7950;7950;SUR;1;3;20.01.2020
LNZLP;TQBR;Лензол. ап;3295;1;1;A;Т+: Акции и ДР - безадрес.;0;Лензолото ПАО ап;;FNDT;EQIN;EQ-N;5;3330;SUR;15.01.2020;347700;RU000A0JP1P7;Lenzoloto pref.;2-02-40433-N;3295;3295;SUR;2;3;20.01.2020
LPSB;TQBR;ЛЭСК ао;6.85;100;0.22;A;Т+: Акции и ДР - безадрес.;2;Липецкая энергосбыт.ком.ОАО ао;;FNDT;EQIN;EQ-N;0.05;7.05;SUR;15.01.2020;155521950;RU000A0D8MR7;LESK ao;1-01-65097-D;6.85;6.85;SUR;1;3;20.01.2020
LSNG;TQBR;Ленэнерго;7.01;100;1;A;Т+: Акции и ДР - безадрес.;2;Ленэнерго(ПАО)-ао;;FNDT;EQIN;EQ-N;0.01;7;SUR;15.01.2020;8523785320;RU0009034490;LenEnrg;1-01-00073-A;7.01;7.01;SUR;1;3;20.01.2020
LSNGP;TQBR;Ленэнерг-п;138.15;10;1;A;Т+: Акции и ДР - безадрес.;2;Ленэнерго(ПАО)-ап;;FNDT;EQIN;EQ-N;0.05;135.85;SUR;15.01.2020;93264311;RU0009092134;LenEnrg (pref);2-01-00073-A;138.15;138.15;SUR;2;3;20.01.2020
LSRG;TQBR;ЛСР ао;812.2;1;0.3;A;Т+: Акции и ДР - безадрес.;1;Группа ЛСР ПАО ао;;FNDT;EQIN;EQ-N;0.2;820;SUR;15.01.2020;103030215;RU000A0JPFP0;LSR;1-01-55234-E;812.2;812.2;SUR;1;1;20.01.2020
LVHK;TQBR;Левенгук;6.47;100;10;A;Т+: Акции и ДР - безадрес.;2;Левенгук ОАО ао;;FNDT;EQIN;EQ-N;0.01;6.48;SUR;15.01.2020;52940000;RU000A0JT7Y2;Levenguk ao;1-01-04329-D;6.47;6.47;SUR;1;3;20.01.2020
MAGE;TQBR;МагадЭн ао;4.86;1000;1;A;Т+: Акции и ДР - безадрес.;2;Магаданэнерго ПАО ао;;FNDT;EQIN;EQ-N;0.01;4.8;SUR;15.01.2020;463838268;RU0006758919;Magadanenergo ao;1-01-00254-A;4.86;4.86;SUR;1;3;20.01.2020
MAGEP;TQBR;МагадЭн ап;2.95;1000;1;A;Т+: Акции и ДР - безадрес.;3;Магаданэнерго ПАО ап;;FNDT;EQIN;EQ-N;0.005;2.945;SUR;15.01.2020;145673254;RU0006758893;Magadanenergo ap;2-01-00254-A;2.95;2.95;SUR;2;3;20.01.2020
MAGN;TQBR;ММК;44.4;100;1;A;Т+: Акции и ДР - безадрес.;3;Магнитогорск.мет.комб ПАО ао;;FNDT;EQIN;EQ-N;0.005;44.23;SUR;15.01.2020;11174330000;RU0009084396;MMK;1-03-00078-A;44.4;44.4;SUR;1;1;20.01.2020
MERF;TQBR;МЕРИДИАН;7.5;100;0.1;A;Т+: Акции и ДР - безадрес.;2;МЕРИДИАН ПАО ао;;FNDT;EQIN;EQ-N;0.01;10.49;SUR;15.01.2020;523220826;RU000A0JQ128;Meridian ao;1-01-00407-A;7.5;7.5;SUR;1;3;20.01.2020
MFGS;TQBR;Мегион-ао;391;10;25;A;Т+: Акции и ДР - безадрес.;1;"ао ""Славнефть-Мегионнефтегаз""";;FNDT;EQIN;EQ-N;0.5;392;SUR;15.01.2020;99474705;RU0009011126;Megion;1-03-00149-A;391;391;SUR;1;3;20.01.2020
MFGSP;TQBR;Мегион-ап;346.5;10;25;A;Т+: Акции и ДР - безадрес.;1;ап Мегионнефтегаз;;FNDT;EQIN;EQ-N;0.5;350.5;SUR;15.01.2020;33056875;RU0009011134;Megion (pref);2-03-00149-A;348;348;SUR;2;3;20.01.2020
MFON;TQBR;МегаФон ао;650.6;1;0.1;N;Т+: Акции и ДР - безадрес.;1;МегаФон ПАО ао;;FNDT;EQIN;EQ-N;0.2;659.4;SUR;15.01.2020;620000000;RU000A0JS942;MegaFon ao;1-03-00822-J;650.6;650.6;SUR;1;3;20.01.2020
MGNT;TQBR;Магнит ао;3440;1;0;A;Т+: Акции и ДР - безадрес.;1;Магнит ПАО ао;;FNDT;EQIN;EQ-N;0.5;3428.5;SUR;15.01.2020;101911355;RU000A0JKQU8;Magnit;1-01-60525-P;3440;3440;SUR;1;1;20.01.2020
MGNZ;TQBR;СМЗ-ао;4490;1;0;A;Т+: Акции и ДР - безадрес.;0;Соликамский магн.завод(ОАО)ао;;FNDT;EQIN;EQ-N;10;4440;SUR;15.01.2020;398272;RU0009100911;SMZ;1-01-00283-A;4490;4490;SUR;1;3;20.01.2020
MGTS;TQBR;МГТС-5ао;2000;1;40;A;Т+: Акции и ДР - безадрес.;0;"ПАО ""МГТС"" ао (5 в)";;FNDT;EQIN;EQ-N;5;2020;SUR;15.01.2020;79708751;RU0009036461;MGTS-5;1-05-00083-A;2005;2005;SUR;1;3;20.01.2020
MGTSP;TQBR;МГТС-4ап;2030;1;40;A;Т+: Акции и ДР - безадрес.;0;"ПАО ""МГТС"" ап (4 в)";;FNDT;EQIN;EQ-N;2;2022;SUR;15.01.2020;15514042;RU0009036479;MGTS-4;2-04-00083-A;2030;2030;SUR;2;3;20.01.2020
MISB;TQBR;ТНСэнМарЭл;10.9;100;0.1;A;Т+: Акции и ДР - безадрес.;1;ТНС энерго Марий Эл ПАО ао;;FNDT;EQIN;EQ-N;0.1;12.3;SUR;15.01.2020;121847780;RU000A0D8K33;TNS energo Mariy El ao;1-01-50086-A;10.8;10.8;SUR;1;3;20.01.2020
MISBP;TQBR;ТНСэМаЭл-п;10;100;0.1;A;Т+: Акции и ДР - безадрес.;1;ТНС энерго Марий Эл ПАО ап;;FNDT;EQIN;EQ-N;0.2;10.6;SUR;15.01.2020;10652220;RU000A0D8K41;TNS energo Mariy El (pref);2-01-50086-A;9.8;9.8;SUR;2;3;20.01.2020
MOBB;TQBR;МосОблБанк;2.704;100;1;A;Т+: Акции и ДР - безадрес.;3;Московский областной банк ПАО;;FNDT;EQIN;EQ-N;0.002;2.752;SUR;15.01.2020;4507984112;RU000A0JS7V9;Moskovskii oblastnoi bank PAO;10101751B;2.704;2.704;SUR;1;3;20.01.2020
MOEX;TQBR;МосБиржа;115.88;10;1;A;Т+: Акции и ДР - безадрес.;2;ПАО Московская Биржа;;FNDT;EQIN;EQ-N;0.01;114.92;SUR;15.01.2020;2276401458;RU000A0JR4A1;MoscowExchange;1-05-08443-H;115.88;115.88;SUR;1;1;20.01.2020
MORI;TQBR;Морион ао;4.31;1000;1;A;Т+: Акции и ДР - безадрес.;2;Морион ПАО ао;;FNDT;EQIN;EQ-N;0.01;4.18;SUR;15.01.2020;164640000;RU0009092431;Morion ao;1-01-30493-D;4.31;4.31;SUR;1;3;20.01.2020
MRKC;TQBR;МРСК Центр;0.3008;1000;0.1;A;Т+: Акции и ДР - безадрес.;4;МРСК Центра ПАО ао;;FNDT;EQIN;EQ-N;0.0002;0.302;SUR;15.01.2020;42217941468;RU000A0JPPL8;MRSK Centra;1-01-10214-A;0.3008;0.3008;SUR;1;2;20.01.2020
MRKK;TQBR;МРСК СК;28.5;10;1;A;Т+: Акции и ДР - безадрес.;2;МРСК Сев. Кавказа ао;;FNDT;EQIN;EQ-N;0.02;28.76;SUR;15.01.2020;889313596;RU000A0JPPQ7;MRSK Severnogo Kavkaza ao;1-01-34747-E;28.5;28.5;SUR;1;3;20.01.2020
MRKP;TQBR;МРСК ЦП;0.2339;10000;0.1;A;Т+: Акции и ДР - безадрес.;4;МРСК Центр. и Приволж. ао;;FNDT;EQIN;EQ-N;0.0001;0.2339;SUR;15.01.2020;1.12698E+11;RU000A0JPN96;MRSK CiP;1-01-12665-E;0.2339;0.2339;SUR;1;2;20.01.2020
MRKS;TQBR;МРСКСиб;0.2705;10000;0.1;A;Т+: Акции и ДР - безадрес.;4;МРСК Сибири ао;;FNDT;EQIN;EQ-N;0.0005;0.2715;SUR;15.01.2020;94815163249;RU000A0JPPF0;MRSK Sibiri;1-01-12044-F;0.2705;0.2705;SUR;1;2;20.01.2020
MRKU;TQBR;МРСК Ур;0.169;10000;0.1;A;Т+: Акции и ДР - безадрес.;4;МРСК Урала (ОАО) ао;;FNDT;EQIN;EQ-N;0.0002;0.1698;SUR;15.01.2020;87430485711;RU000A0JPPT1;MRSK Urala ao;1-01-32501-D;0.169;0.169;SUR;1;2;20.01.2020
MRKV;TQBR;МРСКВол;0.0854;10000;0.1;A;Т+: Акции и ДР - безадрес.;5;МРСК Волги ао;;FNDT;EQIN;EQ-N;0.00005;0.08575;SUR;15.01.2020;1.88308E+11;RU000A0JPPN4;MRSK Volgi;1-01-04247-E;0.0854;0.0854;SUR;1;2;20.01.2020
MRKY;TQBR;МРСКЮга ао;0.0609;10000;0.1;A;Т+: Акции и ДР - безадрес.;5;МРСК Юга ао;;FNDT;EQIN;EQ-N;0.00005;0.061;SUR;15.01.2020;82039595425;RU000A0JPPG8;MRSK Yuga;1-01-34956-E;0.0609;0.0609;SUR;1;3;20.01.2020
MRKZ;TQBR;МРСК СЗ;0.053;10000;0.1;A;Т+: Акции и ДР - безадрес.;5;МРСК Северо-Запада ао;;FNDT;EQIN;EQ-N;0.00005;0.0532;SUR;15.01.2020;95785923138;RU000A0JPPB9;MRSK Severo-Zapada;1-01-03347-D;0.053;0.053;SUR;1;2;20.01.2020
