SECID;BOARDID;SHORTNAME;PREVPRICE;LOTSIZE;FACEVALUE;STATUS;BOARDNAME;DECIMALS;SECNAME;REMARKS;MARKETCODE;INSTRID;SECTORID;MINSTEP;PREVWAPRICE;FACEUNIT;PREVDATE;ISSUESIZE;ISIN;LATNAME;REGNUMBER;PREVLEGALCLOSEPRICE;PREVADMITTEDQUOTE;CURRENCYID;SECTYPE;LISTLEVEL;SETTLEDATE
NNSBP;TQBR;ТНСэнНН ап;578;1;12;A;Т+: Акции и ДР - безадрес.;0;ТНС энерго Нижний Новг.ПАО ап;;FNDT;EQIN;EQ-N;1;567;SUR;15.01.2020;1063512;RU000A0ET5B9;TNS energo Nizhniy Novg. pref;2-01-55072-E;578;578;SUR;2;3;20.01.2020
NPOF;TQBR;Физика ао;11850;1;120;A;Т+: Акции и ДР - безадрес.;0;"ОАО ""НПО Физика"" ао";;FNDT;EQIN;EQ-N;50;11850;SUR;15.01.2020;90262;RU000A0JQ5X1;NPO Fizika ao;1-02-05481-A;11850;11850;SUR;1;3;20.01.2020
NSVZ;TQBR;НаукаСвяз;248;10;1;A;Т+: Акции и ДР - безадрес.;1;Наука-Связь ПАО ао;;FNDT;EQIN;EQ-N;0.5;248;SUR;15.01.2020;1201562;RU000A0JQLB6;Nauka-Svyaz ao;1-01-12689-A;249.5;249.5;SUR;1;3;20.01.2020
NVTK;TQBR;Новатэк ао;1260;1;0.1;A;Т+: Акции и ДР - безадрес.;1;"ПАО ""НОВАТЭК"" ао";;FNDT;EQIN;EQ-N;0.2;1262.4;SUR;15.01.2020;3036306000;RU000A0DKVS5;NOVATEK;1-02-00268-E;1260;1260;SUR;1;1;20.01.2020
OBUV;TQBR;ОР ао;44.45;10;100;A;Т+: Акции и ДР - безадрес.;2;"ПАО ""ОР"" ао";;FNDT;EQIN;EQ-N;0.05;44.45;SUR;15.01.2020;113056000;RU000A0JXKG3;OR;1-01-50161-A;44.45;44.45;SUR;1;2;20.01.2020
OGKB;TQBR;ОГК-2 ао;0.576;1000;0.3627;A;Т+: Акции и ДР - безадрес.;4;ОГК-2 ПАО ао;;FNDT;EQIN;EQ-N;0.0001;0.5788;SUR;15.01.2020;1.10441E+11;RU000A0JNG55;OGK-2;1-02-65105-D;0.576;0.576;SUR;1;2;20.01.2020
OMZZP;TQBR;ОМЗ-ап;4195;1;0;A;Т+: Акции и ДР - безадрес.;0;"ап""Объединён.  маш. заводы""";;FNDT;EQIN;EQ-N;5;4200;SUR;15.01.2020;2750000;RU0009090559;OMZ (pref);2-01-30174-D;4195;4195;SUR;2;3;20.01.2020
OPIN;TQBR;ИНГРАД ао;788;1;1000;A;Т+: Акции и ДР - безадрес.;0;ИНГРАД ПАО ао;;FNDT;EQIN;EQ-N;1;792;SUR;15.01.2020;41220793;RU000A0DJ9B4;INGRAD;1-01-50020-A;788;788;SUR;1;3;20.01.2020
PAZA;TQBR;ПавлАвт ао;10000;1;415;A;Т+: Акции и ДР - безадрес.;0;Павловский автобус ПАО ао;;FNDT;EQIN;EQ-N;10;9920;SUR;15.01.2020;1567904;RU0009083240;Pavlovo Bus ao;1-02-00261-A;10000;10000;SUR;1;3;20.01.2020
PHOR;TQBR;ФосАгро ао;2475;1;3;A;Т+: Акции и ДР - безадрес.;0;ФосАгро ПАО ао;;FNDT;EQIN;EQ-N;1;2475;SUR;15.01.2020;129500000;RU000A0JRKT8;PhosAgro ao;1-02-06556-A;2475;2475;SUR;1;1;20.01.2020
PIKK;TQBR;ПИК ао;406.6;10;62.5;A;Т+: Акции и ДР - безадрес.;1;Группа компания ПИК ПАО ао;;FNDT;EQIN;EQ-N;0.1;409.3;SUR;15.01.2020;660497344;RU000A0JP7J7;PIK;1-02-01556-A;406.6;406.6;SUR;1;1;20.01.2020
PLZL;TQBR;Полюс;7421.5;1;1;A;Т+: Акции и ДР - безадрес.;1;Полюс ПАО ао;;FNDT;EQIN;EQ-N;0.5;7395.5;SUR;15.01.2020;133561119;RU000A0JNAA8;Polus;1-01-55192-E;7421.5;7421.5;SUR;1;1;20.01.2020
PMSB;TQBR;ПермьЭнСб;104;10;3.3;A;Т+: Акции и ДР - безадрес.;1;Пермэнергосбыт ПАО ао;;FNDT;EQIN;EQ-N;0.1;103.9;SUR;15.01.2020;36210960;RU000A0ET123;Perm' EnergoSbyt;1-01-55084-E;104;104;SUR;1;3;20.01.2020
PMSBP;TQBR;ПермьЭнС-п;98;10;3.3;A;Т+: Акции и ДР - безадрес.;1;Пермэнергосбыт ПАО ап;;FNDT;EQIN;EQ-N;0.2;98.2;SUR;15.01.2020;11353500;RU000A0ET156;Perm' EnergoSbyt (pref);2-01-55084-E;98;98;SUR;2;3;20.01.2020
POLY;TQBR;Polymetal;1001.2;1;0;A;Т+: Акции и ДР - безадрес.;1;Polymetal International plc;;FNDT;EQIN;EQ-N;0.1;999.4;GBP;15.01.2020;470188201;JE00B6T5S470;Polymetal International plc;;1001.2;1001.2;SUR;1;1;20.01.2020
PRMB;TQBR;Приморье;16400;1;1000;A;Т+: Акции и ДР - безадрес.;0;"АКБ ""Приморье"" ао";;FNDT;EQIN;EQ-N;200;16200;SUR;15.01.2020;250000;RU000A0DPNQ5;AKB Primorye;10103001B;16400;16400;SUR;1;3;20.01.2020
PRTK;TQBR;ПРОТЕК ао;97.9;10;0;A;Т+: Акции и ДР - безадрес.;1;ПРОТЕК (ПАО) ао;;FNDT;EQIN;EQ-N;0.1;98;SUR;15.01.2020;527142857;RU000A0JQU47;PROTEK ao;1-02-07615-A;97.8;97.8;SUR;1;3;20.01.2020
QIWI;TQBR;iQIWI;1206;1;0;A;Т+: Акции и ДР - безадрес.;1;QIWI PLC;;FNDT;EQIN;EQ-N;0.5;1213.5;SUR;15.01.2020;0;US74735M1080;QIWI PLC;;1206;1206;SUR;D;1;20.01.2020
RASP;TQBR;Распадская;112.5;10;0;A;Т+: Акции и ДР - безадрес.;2;ПАО Распадская ао;;FNDT;EQIN;EQ-N;0.02;113.32;SUR;15.01.2020;703191442;RU000A0B90N8;Raspadskaya;1-04-21725-N;112.5;112.5;SUR;1;2;20.01.2020
RAVN;TQBR;Raven;40;100;0;A;Т+: Акции и ДР - безадрес.;1;Raven Property Group Limited;;FNDT;EQIN;EQ-N;0.2;40;GBP;15.01.2020;489746016;GB00B0D5V538;Raven Property Group Limited;;40;40;SUR;1;3;20.01.2020
RBCM;TQBR;РБК ао;3.698;100;0.001;A;Т+: Акции и ДР - безадрес.;3;РБК ПАО ао;;FNDT;EQIN;EQ-N;0.002;3.712;SUR;15.01.2020;365631010;RU000A0JR6A6;RBK ao;1-02-56413-H;3.698;3.698;SUR;1;3;20.01.2020
RDRB;TQBR;РДБанк ао;380;10;124;A;Т+: Акции и ДР - безадрес.;0;РоссийскийДорож Банк ПАО ао;;FNDT;EQIN;EQ-N;5;380;SUR;15.01.2020;10353948;RU000A0JU6Q7;RosDor Bank ao;10201573B;380;380;SUR;1;3;20.01.2020
RGSS;TQBR;РГС СК ао;0.1724;1000;0.04;A;Т+: Акции и ДР - безадрес.;4;Росгосстрах СК ПАО ао;;FNDT;EQIN;EQ-N;0.0002;0.1742;SUR;15.01.2020;4.89504E+11;RU0008010855;Rosgosstrakh ao;1-03-10003-Z;0.1724;0.1724;SUR;1;3;20.01.2020
RKKE;TQBR;ЭнергияРКК;5320;1;1000;A;Т+: Акции и ДР - безадрес.;0;РКК Энергия им.С.П.Королева ао;;FNDT;EQIN;EQ-N;10;5390;SUR;15.01.2020;1179836;RU0009095939;RKK Energia;1-03-01091-A;5370;5370;SUR;1;3;20.01.2020
RLMN;TQBR;Роллман;19.6;10;100;A;Т+: Акции и ДР - безадрес.;2;Группа Компаний Роллман ПАО ао;;FNDT;EQIN;EQ-N;0.05;19.8;SUR;15.01.2020;4700000;RU000A0JTAP3;Rollman GK ao;1-01-05257-D;19.6;19.6;SUR;1;3;20.01.2020
RLMNP;TQBR;Роллман-п;19.86;10;100;A;Т+: Акции и ДР - безадрес.;2;Группа Компаний Роллман ПАО ап;;FNDT;EQIN;EQ-N;0.02;19.86;SUR;15.01.2020;1560000;RU000A0JU229;Rollman GK ap;2-01-05257-D;19.86;19.86;SUR;2;3;20.01.2020
RNFT;TQBR;РуссНфт ао;543.4;1;0.5;A;Т+: Акции и ДР - безадрес.;1;РуссНефть НК ПАО ао;;FNDT;EQIN;EQ-N;0.2;545.8;SUR;15.01.2020;294120000;RU000A0JSE60;RussNeft NK;1-02-39134-H;543.4;543.4;SUR;1;1;20.01.2020
ROLO;TQBR;Русолово;3.89;1000;1;A;Т+: Акции и ДР - безадрес.;3;Русолово ПАО ао;;FNDT;EQIN;EQ-N;0.002;3.926;SUR;15.01.2020;3000100000;RU000A0JU1B0;Rusolovo PAO ao;1-01-15065-A;3.89;3.89;SUR;1;3;20.01.2020
ROSB;TQBR;Росбанк ао;79;10;10;A;Т+: Акции и ДР - безадрес.;1;РОСБАНК ПАО ао;;FNDT;EQIN;EQ-N;0.2;79.2;SUR;15.01.2020;1551401853;RU000A0HHK26;ROSBANK;10102272B;79;79;SUR;1;3;20.01.2020
ROSN;TQBR;Роснефть;474.5;10;0.01;A;Т+: Акции и ДР - безадрес.;2;ПАО НК Роснефть;;FNDT;EQIN;EQ-N;0.05;474;SUR;15.01.2020;10598177817;RU000A0J2Q06;Rosneft;1-02-00122-A;474.5;474.5;SUR;1;1;20.01.2020
ROST;TQBR;РОСИНТЕРао;64.6;10;169.7;A;Т+: Акции и ДР - безадрес.;1;РОСИНТЕР РЕСТОРАНТС (ПАО);;FNDT;EQIN;EQ-N;0.2;65.2;SUR;15.01.2020;16305334;RU000A0JP922;ROSINTER RESTAURANTS ao;1-02-55033-E;64.6;64.6;SUR;1;3;20.01.2020
RSTI;TQBR;Россети ао;1.4638;1000;1;A;Т+: Акции и ДР - безадрес.;4;Российские сети ПАО ао;;FNDT;EQIN;EQ-N;0.0001;1.4593;SUR;15.01.2020;1.98828E+11;RU000A0JPVJ0;Rosseti ao;1-01-55385-E;1.4638;1.4638;SUR;1;1;20.01.2020
RSTIP;TQBR;Россети ап;1.75;1000;1;A;Т+: Акции и ДР - безадрес.;3;Российские сети ПАО ап;;FNDT;EQIN;EQ-N;0.001;1.755;SUR;15.01.2020;2075149384;RU000A0JPVK8;Rosseti ap;2-01-55385-E;1.75;1.75;SUR;2;1;20.01.2020
RTGZ;TQBR;ГазпРнД ао;20300;1;2000;A;Т+: Акции и ДР - безадрес.;0;Газпром газорасп Р-н-Д ПАО ао;;FNDT;EQIN;EQ-N;50;19600;SUR;15.01.2020;120246;RU000A0JPG04;Gazprom gazorasp. Rostov ao;1-02-30742-E;20300;20300;SUR;1;3;20.01.2020
RTKM;TQBR;Ростел -ао;86;10;0;A;Т+: Акции и ДР - безадрес.;2;Ростелеком (ПАО) ао.;;FNDT;EQIN;EQ-N;0.01;85.3;SUR;15.01.2020;2574914954;RU0008943394;Rostelecom;1-01-00124-A;86;86;SUR;1;1;20.01.2020
RTKMP;TQBR;Ростел -ап;79.95;10;0;A;Т+: Акции и ДР - безадрес.;2;Ростелеком (ПАО) ап.;;FNDT;EQIN;EQ-N;0.05;78.55;SUR;15.01.2020;209565147;RU0009046700;Rostelecom- (pref);2-01-00124-A;79.95;79.95;SUR;2;1;20.01.2020
RTSB;TQBR;ТНСэнРст;0.35;10000;0.02;A;Т+: Акции и ДР - безадрес.;3;ТНС энерго Ростов. ПАО ао;;FNDT;EQIN;EQ-N;0.005;0.345;SUR;15.01.2020;8128764676;RU000A0D8PB4;TNS energo Rostov-na-Dony ao;1-01-50095-A;0.35;0.35;SUR;1;3;20.01.2020
RTSBP;TQBR;ТНСэнРст-п;0.238;10000;0.02;A;Т+: Акции и ДР - безадрес.;3;ТНС энерго Ростов. ПАО ап;;FNDT;EQIN;EQ-N;0.001;0.236;SUR;15.01.2020;925737256;RU000A0D8PC2;TNS energo Rostov-na-Dony(prf);2-01-50095-A;0.238;0.238;SUR;2;3;20.01.2020
RUAL;TQBR;RUSAL plc;32.8;10;0.01;A;Т+: Акции и ДР - безадрес.;3;United Company RUSAL Plc;;FNDT;EQIN;EQ-N;0.005;32.88;USD;15.01.2020;15193014862;JE00B5BCW814;United Company RUSAL Plc;;32.8;32.8;SUR;1;1;20.01.2020
RUGR;TQBR;Русгрэйн;5.294;10;1;A;Т+: Акции и ДР - безадрес.;3;Русгрэйн Холдинг ПАО ао;;FNDT;EQIN;EQ-N;0.002;5.272;SUR;15.01.2020;42984000;RU000A0JPNP4;Rusgrain Holding ao;1-02-50043-H;5.294;5.294;SUR;1;3;20.01.2020
RUSI;TQBR;ИКРУСС-ИНВ;31.4;100;1;A;Т+: Акции и ДР - безадрес.;1;РУСС-ИНВЕСТ ИК ПАО ао;;FNDT;EQIN;EQ-N;0.1;32;SUR;15.01.2020;109000000;RU000A0JQ9W5;RUSS-INVEST IC ao;1-01-00409-A;31.5;31.5;SUR;1;3;20.01.2020
RUSP;TQBR;Русполимет;0.517;10000;0.03;A;Т+: Акции и ДР - безадрес.;4;Русполимет ПАО ао;;FNDT;EQIN;EQ-N;0.0005;0.5235;SUR;15.01.2020;5012985740;RU000A0JNH21;Ruspolimet ao;1-01-55157-E;0.517;0.517;SUR;1;3;20.01.2020
RZSB;TQBR;РязЭнСб;4.89;1000;0.05;A;Т+: Акции и ДР - безадрес.;2;Рязанская энергосб.комп ПАО;;FNDT;EQIN;EQ-N;0.01;4.89;SUR;15.01.2020;206940220;RU000A0D9AF5;"JSC ""Ryazanenergosbyt""";1-01-50092-A;4.89;4.89;SUR;1;3;20.01.2020
SAGO;TQBR;СамарЭн-ао;0.414;10000;0.25;A;Т+: Акции и ДР - безадрес.;3;Самараэнерго (ПАО) - ао;;FNDT;EQIN;EQ-N;0.002;0.426;SUR;15.01.2020;3538928532;RU0009098255;SamaraEnergo ao;1-02-00127-A;0.414;0.414;SUR;1;3;20.01.2020
SAGOP;TQBR;СамарЭн-ап;0.408;10000;0.01;A;Т+: Акции и ДР - безадрес.;3;Самараэнерго (ПАО) - ап;;FNDT;EQIN;EQ-N;0.001;0.413;SUR;15.01.2020;521993080;RU0009084495;SamaraEnergo(pref);2-02-00127-A;0.408;0.408;SUR;2;3;20.01.2020
SARE;TQBR;СаратЭн-ао;0.1244;10000;0.02;A;Т+: Акции и ДР - безадрес.;4;Саратовэнерго(ПАО)-ао;;FNDT;EQIN;EQ-N;0.0002;0.1242;SUR;15.01.2020;4865127996;RU0009100754;SaratovEnergo ao;1-02-00132-A;0.1242;0.1242;SUR;1;3;20.01.2020
SAREP;TQBR;СаратЭн-ап;0.083;10000;0.0211;A;Т+: Акции и ДР - безадрес.;4;Саратовэнерго(ПАО)-ап;;FNDT;EQIN;EQ-N;0.0002;0.0842;SUR;15.01.2020;1493316000;RU0009100762;SaratovEnergo (pref);2-02-00132-A;0.083;0.083;SUR;2;3;20.01.2020
SBER;TQBR;Сбербанк;256.31;10;3;A;Т+: Акции и ДР - безадрес.;2;Сбербанк России ПАО ао;;FNDT;EQIN;EQ-N;0.01;256.51;SUR;15.01.2020;21586948000;RU0009029540;Sberbank;10301481B;256.31;256.31;SUR;1;1;20.01.2020
SBERP;TQBR;Сбербанк-п;230.16;10;3;A;Т+: Акции и ДР - безадрес.;2;Сбербанк России ПАО ап;;FNDT;EQIN;EQ-N;0.01;231.38;SUR;15.01.2020;1000000000;RU0009029557;Sberbank (pref);20301481B;230.16;230.16;SUR;2;1;20.01.2020
SELG;TQBR;Селигдар;13.08;100;1;A;Т+: Акции и ДР - безадрес.;2;"ПАО ""Селигдар""  ао";;FNDT;EQIN;EQ-N;0.01;13;SUR;15.01.2020;842354730;RU000A0JPR50;Seligdar;1-01-32694-F;13.1;13.1;SUR;1;2;20.01.2020
SELGP;TQBR;Селигдар-п;27.55;100;1;A;Т+: Акции и ДР - безадрес.;2;"ПАО ""Селигдар"" ап";;FNDT;EQIN;EQ-N;0.05;27.55;SUR;15.01.2020;150000000;RU000A0JS2J5;Seligdar ap;2-01-32694-F;27.55;27.55;SUR;2;2;20.01.2020
SFIN;TQBR;САФМАР ао;496.8;10;0.7;A;Т+: Акции и ДР - безадрес.;1;САФМАР Фин.Инвестиции ПАО ао;;FNDT;EQIN;EQ-N;0.2;506.2;SUR;15.01.2020;111637791;RU000A0JVW89;SAFMAR Fin.Invest. ao;1-02-56453-P;496.8;496.8;SUR;1;1;20.01.2020
SIBN;TQBR;Газпрнефть;458.65;10;0;A;Т+: Акции и ДР - безадрес.;2;Газпром нефть ПАО ао;;FNDT;EQIN;EQ-N;0.05;458.8;SUR;15.01.2020;4741299639;RU0009062467;Gazprom neft;1-01-00146-A;458.65;458.65;SUR;1;3;20.01.2020
SLEN;TQBR;Сахэнер ао;4.35;100;10;A;Т+: Акции и ДР - безадрес.;3;"ПАО ""Сахалинэнерго"" ао";;FNDT;EQIN;EQ-N;0.005;4.35;SUR;15.01.2020;294169135;RU0009280465;Sakhalinenergo ao;1-03-00272-A;4.35;4.35;SUR;1;3;20.01.2020
SNGS;TQBR;Сургнфгз;53.09;100;1;A;Т+: Акции и ДР - безадрес.;3;Сургутнефтегаз ПАО акции об.;;FNDT;EQIN;EQ-N;0.005;53.42;SUR;15.01.2020;35725994705;RU0008926258;Surgut;1-01-00155-A;53.09;53.09;SUR;1;2;20.01.2020
SNGSP;TQBR;Сургнфгз-п;37.27;100;1;A;Т+: Акции и ДР - безадрес.;3;Сургутнефтегаз ПАО ап;;FNDT;EQIN;EQ-N;0.005;37.155;SUR;15.01.2020;7701998235;RU0009029524;Surgut-pref;2-01-00155-A;37.27;37.27;SUR;2;2;20.01.2020
STSB;TQBR;СтаврЭнСб;0.3615;1000;0.0048;A;Т+: Акции и ДР - безадрес.;4;Ставрополэнергосбыт ПАО ао;;FNDT;EQIN;EQ-N;0.0005;0.361;SUR;15.01.2020;859074636;RU000A0ET1W4;StavropolEnergoSbyt;1-01-50119-A;0.3615;0.3615;SUR;1;3;20.01.2020
STSBP;TQBR;СтаврЭнСбп;0.345;1000;0.0048;A;Т+: Акции и ДР - безадрес.;4;Ставрополэнергосбыт ПАО ап;;FNDT;EQIN;EQ-N;0.0002;0.3466;SUR;15.01.2020;262100364;RU000A0ET1Z7;StavropolEnergoSbyt (pref);2-01-50119-A;0.345;0.345;SUR;2;3;20.01.2020
SVAV;TQBR;СОЛЛЕРС;289.5;10;12.5;A;Т+: Акции и ДР - безадрес.;1;"ОАО ""СОЛЛЕРС"" ао";;FNDT;EQIN;EQ-N;0.5;290;SUR;15.01.2020;34270159;RU0006914488;Sollers;1-01-02461-D;289.5;289.5;SUR;1;2;20.01.2020
SZPR;TQBR;СЗПароход;904;1;13;A;Т+: Акции и ДР - безадрес.;0;Сев.-зап. пароходство ПАО;;FNDT;EQIN;EQ-N;2;908;SUR;15.01.2020;10514630;RU0009100861;Severo-Zapadnoe Parokhodstvo;1-01-00141-A;904;904;SUR;1;3;20.01.2020
TASB;TQBR;ТамбЭнСб;0.2785;10000;0.02;A;Т+: Акции и ДР - безадрес.;4;"ао""Тамбов.энергсбыт.комп.""ПАО";;FNDT;EQIN;EQ-N;0.0005;0.276;SUR;15.01.2020;1525986880;RU000A0D8NG8;Tambov EnergoSbyt Company;1-01-65100-D;0.2785;0.2785;SUR;1;3;20.01.2020
TASBP;TQBR;ТамбЭнСб-п;0.1885;10000;0.02;A;Т+: Акции и ДР - безадрес.;4;"ап""Тамбов.энергсбыт.комп.""ПАО";;FNDT;EQIN;EQ-N;0.0005;0.186;SUR;15.01.2020;217961420;RU000A0D8NH6;Tambov EnergoSbyt Comp. (pref);2-01-65100-D;0.1885;0.1885;SUR;2;3;20.01.2020
TATN;TQBR;Татнфт 3ао;807;1;1;A;Т+: Акции и ДР - безадрес.;1;"ПАО ""Татнефть"" ао";;FNDT;EQIN;EQ-N;0.1;808.7;SUR;15.01.2020;2178690700;RU0009033591;Tatneft-3;1-03-00161-A;807;807;SUR;1;1;20.01.2020
TATNP;TQBR;Татнфт 3ап;760;1;1;A;Т+: Акции и ДР - безадрес.;1;"ПАО ""Татнефть"" ап 3 вып.";;FNDT;EQIN;EQ-N;0.1;759.1;SUR;15.01.2020;147508500;RU0006944147;Tatneft (pref);2-03-00161-A;760;760;SUR;2;1;20.01.2020
TCSG;TQBR;TCS-гдр;1453.8;1;0;A;Т+: Акции и ДР - безадрес.;1;ГДР TCS Group Holding ORD SHS;;FNDT;EQIN;EQ-N;0.2;1446;SUR;15.01.2020;0;US87238U2033;GDR TCS Group Holding ORD SHS;;1453.8;1453.8;SUR;D;1;20.01.2020
TGKA;TQBR;ТГК-1;0.01312;100000;0.01;A;Т+: Акции и ДР - безадрес.;6;"ао ПАО ""ТГК-1""";;FNDT;EQIN;EQ-N;0.000002;0.01321;SUR;15.01.2020;3.85434E+12;RU000A0JNUD0;TGK-1;1-01-03388-D;0.01312;0.01312;SUR;1;1;20.01.2020
TGKB;TQBR;ТГК-2;0.00255;1000000;0.01;A;Т+: Акции и ДР - безадрес.;6;"ао ПАО ""ТГК-2""";;FNDT;EQIN;EQ-N;0.000005;0.002575;SUR;15.01.2020;1.4584E+12;RU000A0JNGS7;TGK-2;1-01-10420-A;0.00255;0.00255;SUR;1;3;20.01.2020
TGKBP;TQBR;ТГК-2 ап;0.00372;1000000;0.01;A;Т+: Акции и ДР - безадрес.;5;"ап ПАО ""ТГК-2""";;FNDT;EQIN;EQ-N;0.00001;0.0038;SUR;15.01.2020;16500533681;RU000A0JNGT5;TGK-2 pref;2-01-10420-A;0.00372;0.00372;SUR;2;3;20.01.2020
TGKD;TQBR;Квадра;0.003255;100000;0.01;A;Т+: Акции и ДР - безадрес.;6;Квадра ПАО ао;;FNDT;EQIN;EQ-N;0.000005;0.00332;SUR;15.01.2020;1.9125E+12;RU000A0JNMZ0;Kvadra;1-01-43069-A;0.003255;0.003255;SUR;1;3;20.01.2020
TGKDP;TQBR;Квадра-п;0.00381;100000;0.01;A;Т+: Акции и ДР - безадрес.;6;Квадра ПАО ап;;FNDT;EQIN;EQ-N;0.000005;0.003785;SUR;15.01.2020;75272938838;RU000A0JNNB9;Kvadra (pref);2-01-43069-A;0.003795;0.003795;SUR;2;3;20.01.2020
TGKN;TQBR;ТГК-14;0.0045;1000000;0.001;A;Т+: Акции и ДР - безадрес.;5;"ао ПАО ""ТГК-14""";;FNDT;EQIN;EQ-N;0.00001;0.00471;SUR;15.01.2020;1.35795E+12;RU000A0H1ES3;TGK-14;1-01-22451-F;0.0045;0.0045;SUR;1;2;20.01.2020
TNSE;TQBR;ТНСэнрг ао;975;1;1;A;Т+: Акции и ДР - безадрес.;0;"ПАО ГК ""ТНС энерго"" ао";;FNDT;EQIN;EQ-N;5;975;SUR;15.01.2020;13668239;RU000A0JUCQ5;"PAO GK ""TNS energo"" ao";1-01-15521-A;970;970;SUR;1;2;20.01.2020
TORS;TQBR;ТРК ао;0.407;10000;0.492;A;Т+: Акции и ДР - безадрес.;3;"ао ""Томская распределит.комп.""";;FNDT;EQIN;EQ-N;0.001;0.404;SUR;15.01.2020;3819315580;RU000A0ETZF2;Tomsk raspredelit. komp ao;1-01-50128-A;0.407;0.407;SUR;1;3;20.01.2020
TORSP;TQBR;ТРК ап;0.296;10000;0.4916;A;Т+: Акции и ДР - безадрес.;4;"ап ""Томская распределит.комп.""";;FNDT;EQIN;EQ-N;0.0005;0.296;SUR;15.01.2020;576693000;RU000A0ETZM8;Tomsk raspredelit. komp ap;2-01-50128-A;0.296;0.296;SUR;2;3;20.01.2020
TRCN;TQBR;ТрансК ао;8525;1;1000;A;Т+: Акции и ДР - безадрес.;0;ТрансКонтейнер ПАО ао;;FNDT;EQIN;EQ-N;5;8495;SUR;15.01.2020;13894778;RU000A0JPRX9;TransKonteiner ao;1-01-55194-E;8525;8525;SUR;1;3;20.01.2020
TRFM;TQBR;ТрансФ ао;;10000;0.1;A;Т+: Акции и ДР - безадрес.;5;ПАО ТрансФин-М ао;;FNDT;EQIN;EQ-N;0.00002;;SUR;15.01.2020;1.3215E+11;RU000A0JUGP8;TransFin-M;1-01-50156-A;;;SUR;1;3;20.01.2020
TRMK;TQBR;ТМК ао;58.22;10;10;A;Т+: Акции и ДР - безадрес.;2;ПАО ТМК;;FNDT;EQIN;EQ-N;0.02;58.38;SUR;15.01.2020;1033135366;RU000A0B6NK6;TMK ao;1-01-29031-H;58.22;58.22;SUR;1;1;20.01.2020
TRNFP;TQBR;Транснф ап;176850;1;1;A;Т+: Акции и ДР - безадрес.;0;Транснефть ПАО акц.пр.;;FNDT;EQIN;EQ-N;50;177300;SUR;15.01.2020;1554875;RU0009091573;Transneft (pref);2-01-00206-A;176850;176850;SUR;2;1;20.01.2020
TTLK;TQBR;Таттел. ао;0.304;10000;0.1;A;Т+: Акции и ДР - безадрес.;4;Таттелеком ПАО ао;;FNDT;EQIN;EQ-N;0.0005;0.292;SUR;15.01.2020;20843976400;RU000A0HM5C1;Tattelekom;1-02-50049-A;0.304;0.304;SUR;1;3;20.01.2020
TUZA;TQBR;ТЗА ао;95;10;10;A;Т+: Акции и ДР - безадрес.;0;Туймаз. завод автобетоновозов;;FNDT;EQIN;EQ-N;1;96;SUR;15.01.2020;8220000;RU000A0HL7A2;Tuimaz. Zavod Avtobetonovozov;1-01-30455-D;95;95;SUR;1;3;20.01.2020
UCSS;TQBR;ОКС ао;1500;1;1000;A;Т+: Акции и ДР - безадрес.;0;ПАО ОКС ао;;FNDT;EQIN;EQ-N;10;1480;SUR;15.01.2020;23718856;RU000A0JTQK0;PAO OKS ao;1-01-15296-A;1500;1500;SUR;1;3;20.01.2020
UKUZ;TQBR;ЮжКузб. ао;540;1;0;A;Т+: Акции и ДР - безадрес.;0;Южный Кузбасс ПАО ао;;FNDT;EQIN;EQ-N;2;538;SUR;15.01.2020;36109217;RU0005294775;Uzhnyi Kuzbass;1-02-10591-F;540;540;SUR;1;3;20.01.2020
UNAC;TQBR;iАвиастКао;0.642;1000;0.86;A;Т+: Акции и ДР - безадрес.;4;Об.авиастр.корп. ПАО ао;;FNDT;EQIN;EQ-N;0.0005;0.638;SUR;15.01.2020;4.92526E+11;RU000A0JPLZ7;Ob.aviastroitelnaya korp.;1-02-55306-E;0.6415;0.6415;SUR;1;3;20.01.2020
UNKL;TQBR;ЮУНК ао;3090;1;1;A;Т+: Акции и ДР - безадрес.;0;Южно-Уральский никел. комб. ао;;FNDT;EQIN;EQ-N;10;3060;SUR;15.01.2020;599737;RU0004887991;Uzhno-Uralskiy nikel. komb. ao;1-01-00197-A;3090;3090;SUR;1;3;20.01.2020
UPRO;TQBR;Юнипро ао;2.92;1000;0.4;A;Т+: Акции и ДР - безадрес.;3;Юнипро ПАО ао;;FNDT;EQIN;EQ-N;0.001;2.949;SUR;15.01.2020;63048706145;RU000A0JNGA5;Unipro PAO ao;1-02-65104-D;2.92;2.92;SUR;1;1;20.01.2020
URKA;TQBR;Уркалий-ао;119.04;10;0.5;N;Т+: Акции и ДР - безадрес.;2;Уралкалий ПАО ао;;FNDT;EQIN;EQ-N;0.02;119.04;SUR;15.01.2020;2936015891;RU0007661302;Uralkaliy;1-01-00296-A;119.04;119.04;SUR;1;3;20.01.2020
URKZ;TQBR;УрКузница;10540;1;1;A;Т+: Акции и ДР - безадрес.;0;"ПАО ""Уральская кузница"" ао";;FNDT;EQIN;EQ-N;20;10480;SUR;15.01.2020;547761;RU000A0JPFY2;Uralskaya kuznica ao;1-01-32341-D;10540;10540;SUR;1;3;20.01.2020
